Function	Run	Duration(ns)
bitwise	45	868375
bitwise	46	865500
bitwise	47	868625
bitwise	48	881959
bitwise	49	876000
bitwise	50	850375
bitwise	51	827791
bitwise	52	831333
bitwise	53	895542
bitwise	54	827791
bitwise	55	836292
bitwise	56	827792
bitwise	57	822875
bitwise	58	839750
bitwise	59	810875
bitwise	60	817125
bitwise	61	814167
bitwise	62	840042
bitwise	63	859792
bitwise	64	842291
bitwise	65	779208
bitwise	66	779000
bitwise	67	783958
bitwise	68	821791
bitwise	69	798375
bitwise	70	768833
bitwise	71	764458
bitwise	72	782791
bitwise	73	789500
bitwise	74	782958
bitwise	75	751125
bitwise	76	762417
bitwise	77	746625
bitwise	78	745000
bitwise	79	758500
bitwise	80	753791
bitwise	81	750375
bitwise	82	768041
bitwise	83	750917
bitwise	84	753625
bitwise	85	750458
bitwise	86	734791
bitwise	87	731083
bitwise	88	807292
bitwise	89	750417
bitwise	90	797500
bitwise	91	744000
bitwise	92	731167
bitwise	93	731166
bitwise	94	750500
bitwise	95	755458
bitwise	96	757916
bitwise	97	742208
bitwise	98	738083
bitwise	99	731042
bitwise	100	736916
round	1	716666
round	2	700584
round	3	765917
round	4	684541
round	5	709208
round	6	740917
round	7	719416
round	8	735500
round	9	720666
round	10	731208
round	11	722625
round	12	737833
round	13	736375
round	14	757250
round	15	730458
round	16	730000
round	17	735000
round	18	735208
round	19	743666
round	20	732458
round	21	738959
round	22	737041
round	23	742125
round	24	760292
round	25	745791
round	26	734000
round	27	741958
round	28	740958
round	29	746375
round	30	745167
round	31	737208
round	32	738750
round	33	742084
round	34	755083
round	35	759750
round	36	716541
round	37	669709
round	38	708542
round	39	705375
round	40	731084
round	41	733750
round	42	737000
round	43	726042
round	44	736250
round	45	730541
round	46	739500
round	47	745792
round	48	738625
round	49	735500
round	50	738708
round	51	743500
round	52	742125
round	53	745042
round	54	742000
round	55	741833
round	56	737000
round	57	751750
round	58	757375
round	59	715916
round	60	667792
round	61	672000
round	62	728542
round	63	715791
round	64	731875
round	65	726708
round	66	726625
round	67	720917
round	68	757500
round	69	720875
round	70	731458
round	71	725625
round	72	736125
round	73	730208
round	74	735250
round	75	740625
round	76	741709
round	77	741959
round	78	734792
round	79	738667
round	80	735375
round	81	739250
round	82	741917
round	83	742208
round	84	761083
round	85	744542
round	86	733833
round	87	742000
round	88	745666
round	89	742000
round	90	735208
round	91	749959
round	92	753375
round	93	742042
round	94	742125
round	95	763333
round	96	745292
round	97	742417
round	98	741833
round	99	746416
round	100	745500
cos	1	3100083
cos	2	3101834
cos	3	3097917
cos	4	3092625
cos	5	3128917
cos	6	2983333
cos	7	3034041
cos	8	3110667
cos	9	3105333
cos	10	3096000
cos	11	3103625
cos	12	3151709
cos	13	3103875
cos	14	3120459
cos	15	3108125
cos	16	3102959
cos	17	3112250
cos	18	3097292
cos	19	3112375
cos	20	3109667
cos	21	3099375
cos	22	3095542
cos	23	3104416
cos	24	3102042
cos	25	3092500
cos	26	3104084
cos	27	3097875
cos	28	3096041
cos	29	3095959
cos	30	3094875
cos	31	3111542
cos	32	3096333
cos	33	3122208
cos	34	3092500
cos	35	3096166
